非洲	África
分類:Thòi-vân li̍t-sṳ́	Categoria:História de Taiwan
Curitiba	Curitiba
Chloë Grace Moretz	Chloë Grace Moretz
Khûng-chṳ́	Confúcio
Corbin Bleu	Corbin Bleu
分類:Sṳ-ho̍k	Categoria:Matemática
分類:Ngìn-kûng ngî-ngièn	Categoria:Línguas artificiais
Pâ-lî-sén	Bali
Mî-kîm	Dólar dos Estados Unidos
Thi-chûng-hói	Mar Mediterrâneo
Hông-chû-sṳ	Hangzhou
Kî-tuk-kau	Cristianismo
Tûng Nú-sâ Tên-kâ-là-sén	Sonda Oriental
Sî Nú-sâ Tên-kâ-là-sén	Sonda Ocidental
Chûng Sû-lâ-vî-sî-sén	Celebes Central
Kô-lùn-tá-lo̍k-sén	Gorontalo
Pet Sû-lâ-vî-sî-sén	Celebes Setentrional
Tûng-nàm Sû-lâ-vî-sî-sén	Celebes do Sudeste
Nàm Sû-lâ-vî-sî-sén	Celebes Meridional
Sî Sû-lâ-vî-sî-sén	Celebes Ocidental
Vò-é	Arroz
Mâ-lû-kú-sén	Molucas (província)
Pet Mâ-lû-kú-sén	Molucas Setentrionais
Pâ-pu-â-sén	Papua (província indonésia)
Sî Pâ-pu-â-sén	Papua Ocidental
Dagestan Khiung-fò-koet	Daguestão
Sú-tû	Capital
Monzón	Monzón
Phù-thò-ngà-ngî	Língua portuguesa
Ngie̍t	Mês
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Makhachkala	Mahackala
Chechnya Khiung-fò-koet	Chechênia
Grozny	Grózni
Almazán	Almazán
Vòng Hien-fàm	Huang Xianfan
Ingushetia Khiung-fò-koet	Inguchétia
Magas	Magas
Pet Ossetia–Alania Khiung-fò-koet	Ossétia do Norte-Alânia
Kabardino-Balkaria Khiung-fò-koet	Cabárdia-Balcária
Tson-sa̍k	Diamante
Bill Gates	Bill Gates
Ngi̍t-ngî	Língua japonesa
Pak-khô-chhiòn-sû	Enciclopédia
頭頁	Wikipédia:Página principal
Karachay-Cherkessia Khiung-fò-koet	Carachai-Circássia
Saratov	Saratov
Saratov-chû	Oblast de Saratov
Orenburg-chû	Oblast de Oremburgo
Mordovia Khiung-fò-koet	Mordóvia
Saransk	Saransk
Yâ-khiù	Basebol
Làm-khiù	Basquetebol
Kirov-chû	Oblast de Kirov
Udmurtia Khiung-fò-koet	Udmúrtia
Sî-pak-li-â	Sibéria
Mari El Khiung-fò-koet	Mari El
Yoshkar-Ola	Iochkar-Ola
Stellenbosch	Stellenbosch
Sverdlovsk-chû	Oblast de Sverdlovsk
Cape Town	Cidade do Cabo
Chuvash Khiung-fò-koet	Chuváchia
Durban	Durban
Cheboksary	Cheboksary
Tat-tat-sṳ̂-thán Khiung-fò-koet	Tartaristão
Penza-chû	Oblast de Penza
Là-fî-ngì	Rafael Sanzio
Pí-tet Lû-pún-sṳ̂	Peter Paul Rubens
Ulyanovsk-chû	Oblast de Ulianovsk
Gung-gung-hi-tsaa	Ônibus
Kâ-thai-lò-nì-â	Catalunha
Bashkortostan Khiung-fò-koet	Bascortostão
Chelyabinsk-chû	Oblast de Cheliabinsk
Pâ-lùn-sî-â Chhṳ-chhṳ-khî	Comunidade Valenciana
Khà-sṳ̂-tì-li-â lâu Lòi-ngong	Castela e Leão
Kurgan-chû	Oblast de Kurgan
Mô Chhe̍t-tûng	Mao Tsé-Tung
Tyumen-chû	Oblast de Tiumen
Omsk-chû	Oblast de Omsk
Thai-mí-ngì-ngî	Língua tâmil
Chet-ho̍k	Filosofia
分類:Candidates for speedy deletion	Categoria:!Páginas para eliminação rápida
Altai Khiung-fò-koet	Altai (república)
Kòng-khìm	Piano
Gorno-Altaysk	Gorno-Altaisk
Kemerovo-chû	Oblast de Kemerovo
Hebe Camargo	Hebe Camargo
Chṳ̂-pún chú-ngi	Capitalismo
Koet-kâ	País
Mìn-chhu̍k	Nação
Khanty-Mansi Chhṳ-chhṳ-khî	Khantia-Mansia
Yamalo-Nenets Chhṳ-chhṳ-khî	Iamália
Montpellier	Montpellier
分類:Thiên-vùn-ho̍k	Categoria:Astronomia
Khakassia Khiung-fò-koet	Cacássia
Irkutsk-chû	Oblast de Irkutsk
Sakha Khiung-fò-koet	Iacútia
Khiet-lò-âi-sî-â-ngî	Língua croata
Hon-pó	Hambúrguer
Buryatia Khiung-fò-koet	Buriácia
Vû-làn Vû-tet	Ulan-Ude
Amur-chû	Oblast de Amur
Ngi-sṳ̍p Sṳ-ki	Século XX
Gotha	Gota (cidade)
Dijon	Dijon
Kâ-thai-lò-nì-â-ngî	Língua catalã
Nordhausen	Nordhausen
Kit-lò-na̍p-sén	Girona
Eisenach	Eisenach
Se-pâu Sâng-vu̍t-ho̍k	Biologia celular
Sṳ-kie Ngiùn-hòng Si̍p-thòn	Banco Mundial
A-la-pak Liên-mên	Liga Árabe
Mìn-tsú Tsú-ngi	Democracia
Chhîn-chhèu (秦朝)	Dinastia Chin
Pet Thai-sî-yòng Kûng-yok Chû-chṳt	Organização do Tratado do Atlântico Norte
Chhìn Sṳ Fòng	Qin Shihuang
Hon-chhèu	Dinastia Han
Hon Vú-ti Liù Chha̍t	Wu de Han
Sâng-vu̍t	Organismo
Kiûn-chú-chṳ	Monarquia
Khiung-fò-koet	República
Yí-mô-khiù	Badminton
Ngièn-chhèu	Dinastia Yuan
Nazi Tet-koet	Alemanha Nazi
Yù-thai-ngìn	Judeu
Chang Fò	Zheng He
Chìn-chhèu	Dinastia Jin (265-420)
Ngí	Orelha
Phi	Nariz
Ngién	Olho
Mûn-é	Culicidae
Mièn-yòng	Ovis aries
Lo̍k-thò	Camelo
Phú-nen thung-vu̍t	Mamíferos
Siong	Elefante
Ngie-kûng	Formiga
Phûng-é	Anthophila
Hò-làn-ngî	Língua neerlandesa
