Африк	África
Ангилал:Монголын тамирчид	Categoria:Desportistas da Mongólia
Ангилал:Аргентины тамирчид	Categoria:Desportistas da Argentina
Ангилал:Австралийн тамирчин	Categoria:Desportistas da Austrália
Ангилал:Их Британийн тамирчид	Categoria:Desportistas do Reino Unido
Ангилал:Италийн тамирчид	Categoria:Desportistas da Itália
Ангилал:Өмнөд Солонгосын тамирчид	Categoria:Desportistas da Coreia do Sul
Ангилал:Беларусийн тамирчид	Categoria:Desportistas da Bielorrússia
Ангилал:Өмнөд Африкийн тамирчид	Categoria:Desportistas da África do Sul
Ангилал:Польшийн тамирчид	Categoria:Desportistas da Polônia
Ангилал:Канадын тамирчид	Categoria:Desportistas do Canadá
Ангилал:Буудлагын тамирчид	Categoria:Atiradores esportivos
Ангилал:Тайландын олимпийн аваргууд	Categoria:Campeões olímpicos da Tailândia
Ангилал:АНУ-ын дугуйчид	Categoria:Ciclistas dos Estados Unidos
Ангилал:Английн дуучид	Categoria:Cantores da Inglaterra
Ангилал:Нидерландын эрдэмтэд	Categoria:Cientistas dos Países Baixos
Ангилал:АНУ-ын бизнесмэнүүд	Categoria:Empresários dos Estados Unidos
Ангилал:Францын сагсан бөмбөгчид	Categoria:Basquetebolistas da França
Ангилал:Сагсан бөмбөгчид	Categoria:Basquetebolistas
Ангилал:Их Британийн зохион бүтээгчид	Categoria:Inventores do Reino Unido
Ангилал:Английн философичид	Categoria:Filósofos da Inglaterra
Ангилал:Оросын философичид	Categoria:Filósofos da Rússia
Ангилал:Францын философичид	Categoria:Filósofos da França
Ангилал:Генетикчид	Categoria:Geneticistas
Ангилал:Туялзуур сэлэмчид	Categoria:Esgrimistas
Ангилал:АНУ-ын физикчид	Categoria:Físicos dos Estados Unidos
Ангилал:Английн физикчид	Categoria:Físicos da Inglaterra
Ангилал:Японы хөлбөмбөгчид	Categoria:Futebolistas do Japão
Ангилал:Туркийн хөлбөмбөгчид	Categoria:Futebolistas da Turquia
Ангилал:Парагвайн хөлбөмбөгчид	Categoria:Futebolistas do Paraguai
Ангилал:Швейцарийн хөлбөмбөгчид	Categoria:Futebolistas da Suíça
Ангилал:Испанийн хөлбөмбөгчид	Categoria:Futebolistas da Espanha
Ангилал:Унгарын хөлбөмбөгчид	Categoria:Futebolistas da Hungria
Ангилал:Чехийн хөлбөмбөгчид	Categoria:Futebolistas da República Tcheca
Ангилал:Сербийн хөлбөмбөгчид	Categoria:Futebolistas da Sérvia
Ангилал:Италийн хөлбөмбөгчид	Categoria:Futebolistas da Itália
Ангилал:Данийн хөлбөмбөгчид	Categoria:Futebolistas da Dinamarca
Ангилал:Уэльсийн хөлбөмбөгчид	Categoria:Futebolistas do País de Gales
Ангилал:Ирландын хөлбөмбөгчид	Categoria:Futebolistas da Irlanda
Ангилал:Колумбын хөлбөмбөгчид	Categoria:Futebolistas da Colômbia
Ангилал:Хорватын хөлбөмбөгчид	Categoria:Futebolistas da Croácia
Ангилал:Португалын хөлбөмбөгчид	Categoria:Futebolistas de Portugal
Ангилал:2004 оны Зуны олимпийн наадмын хөлбөмбөгчид	Categoria:Futebolistas nos Jogos Olímpicos de Verão de 2004
Ангилал:2000 оны Зуны олимпийн наадмын хөлбөмбөгчид	Categoria:Futebolistas nos Jogos Olímpicos de Verão de 2000
Ангилал:Боксчид	Categoria:Pugilistas
Загвар:Cycling archives	Predefinição:Cycling archives
Ангилал:Кенийн боксчид	Categoria:Pugilistas do Quênia
Ангилал:Хүндийг өргөгчид	Categoria:Halterofilistas
Ангилал:Их Британийн жүдочид	Categoria:Judocas do Reino Unido
Ангилал:Хятадын дуучин	Categoria:Cantores da China
Ангилал:Норвегийн дуучид	Categoria:Cantores da Noruega
Ангилал:Оросын дуучид	Categoria:Cantores da Rússia
Ангилал:Өмнөд Солонгосын дуучид	Categoria:Cantores da Coreia do Sul
Ангилал:Английн эрдэмтэд	Categoria:Cientistas da Inglaterra
Ангилал:Эрдэмтэд	Categoria:Cientistas
Ангилал:АНУ-ын усанд сэлэгчид	Categoria:Nadadores dos Estados Unidos
Ангилал:Усанд сэлэгчид	Categoria:Nadadores
Ангилал:Аялагч	Categoria:Exploradores
Ангилал:Уран гулгагчид	Categoria:Patinadores artísticos
Ангилал:Беларусийн зохиолчид	Categoria:Escritores da Bielorrússia
Ангилал:Алхимичид	Categoria:Alquimistas
Ангилал:Энэтхэгийн эдийн засагчид	Categoria:Economistas da Índia
Ангилал:Германы авто уралдаанчид	Categoria:Pilotos de automóvel da Alemanha
Ангилал:Тайландын өдөн бөмбөгчид	Categoria:Jogadores de badminton da Tailândia
Ангилал:Японы жүжигчин	Categoria:Atores do Japão
Ангилал:Австралийн жүжигчин	Categoria:Atores da Austrália
Ангилал:Уэльсийн жүжигчид	Categoria:Atores do País de Gales
Ангилал:Хийсвэрлэл	Categoria:Abstração
Ангилал:Японы ерөнхий сайдууд	Categoria:Primeiros-ministros do Japão
Ангилал:Францын ерөнхий сайд нар	Categoria:Primeiros-ministros da França
Ангилал:Австралийн ерөнхий сайд нар	Categoria:Primeiros-ministros da Austrália
Ангилал:Вьетнамын ерөнхий сайд нар	Categoria:Primeiros-ministros do Vietname
Ангилал:Тайландын ерөнхий сайд нар	Categoria:Primeiros-ministros da Tailândia
Ангилал:Бельгийн ерөнхий сайд нар	Categoria:Primeiros-ministros da Bélgica
Ангилал:Христийн шашны урсгалууд	Categoria:Denominações cristãs
Ангилал:Нобелийн шагнал	Categoria:Prémio Nobel
Ангилал:Португалын яруу найрагчид	Categoria:Poetas de Portugal
Ангилал:Хөлбөмбөг улсуудад	Categoria:Futebol por país
Ангилал:Маршаллын арлуудын газарзүй	Categoria:Geografia das Ilhas Marshall
Ангилал:Афганистаны газарзүй	Categoria:Geografia do Afeganistão
Ангилал:Этиопын газарзүй	Categoria:Geografia da Etiópia
Ангилал:Пакистаны газарзүй	Categoria:Geografia do Paquistão
Ангилал:Францын газарзүй	Categoria:Geografia da França
Ангилал:Хойд Солонгос	Categoria:Coreia do Norte
Ангилал:Гүрж	Categoria:Geórgia
Ангилал:Камбож	Categoria:Camboja
Ангилал:Гайаны хүн	Categoria:Guianenses
Ангилал:Өмнөд Африкчууд	Categoria:Sul-africanos
Ангилал:Барбадосын хүн	Categoria:Barbadenses
Ангилал:Ботсваны хүн	Categoria:Botswaneses
Ангилал:Бутаны хүн	Categoria:Butanenses
Ангилал:Сербийн хүн	Categoria:Sérvios
Ангилал:Сомаличууд	Categoria:Somalis
Ангилал:Австралийн хүн	Categoria:Australianos
Ангилал:Замбийн хүн	Categoria:Zambianos
Ангилал:Хятадууд	Categoria:Chineses
Ангилал:Зимбабвийн хүн	Categoria:Zimbabuanos
Ангилал:Камеруны хүн	Categoria:Camaroneses
Ангилал:Португалчууд	Categoria:Portugueses
Ангилал:Түрэг	Categoria:Povos túrquicos
Ангилал:Америкийн дуучид	Categoria:Cantores dos Estados Unidos
Ангилал:Украйны дуучин	Categoria:Cantores da Ucrânia
Ангилал:Югославын цэргийн зүтгэлтнүүд	Categoria:Militares da Iugoslávia
Ангилал:Османы эзэнт гүрний султанууд	Categoria:Sultões do Império Otomano
Ангилал:Германы жүжгийн зохиолчид	Categoria:Dramaturgos da Alemanha
Ангилал:Германы сагсан бөмбөгчид	Categoria:Basquetebolistas da Alemanha
Ангилал:Аргентины сагсан бөмбөгчид	Categoria:Basquetebolistas da Argentina
Ангилал:Өмнөд Солонгосын волейболчид	Categoria:Voleibolistas da Coreia do Sul
Ангилал:Хятадын өдөн бөмбөгчид	Categoria:Jogadores de badminton da China
Ангилал:Өмнөд Солонгосын жүжигчид	Categoria:Atores da Coreia do Sul
Ангилал:Америкийн биологичид	Categoria:Biólogos dos Estados Unidos
Ангилал:Их Британийн биологичид	Categoria:Biólogos do Reino Unido
Ангилал:Японы усанд сэлэгчид	Categoria:Nadadores do Japão
Ангилал:Ганын тамирчид	Categoria:Desportistas do Gana
Ангилал:Германы яруу найрагчид	Categoria:Poetas da Alemanha
Ангилал:Британийн яруу найрагчид	Categoria:Poetas do Reino Unido
Ангилал:Украйны яруу найрагчид	Categoria:Poetas da Ucrânia
Ангилал:Энэтхэгийн яруу найрагчид	Categoria:Poetas da Índia
Ангилал:Шинжлэх ухаан ба соёл	Categoria:Ciência e cultura
Ангилал:Швейцарийн биологичид	Categoria:Biólogos da Suíça
Ангилал:Швейцарийн эрдэмтэд	Categoria:Cientistas da Suíça
Ангилал:Америкийн генетикчид	Categoria:Geneticistas dos Estados Unidos
Ангилал:Зүүн Германы хөнгөн атлетикчид	Categoria:Atletas da Alemanha Oriental
Ангилал:Шведийн хөнгөн атлетикчид	Categoria:Atletas da Suécia
Ангилал:Чехийн хөнгөн атлетикчид	Categoria:Atletas da República Checa
Ангилал:Кубын хөнгөн атлетикчид	Categoria:Atletas de Cuba
Ангилал:Францын хөнгөн атлетикчид	Categoria:Atletas da França
Ангилал:Өмнөд Африкийн зохиолчид	Categoria:Escritores da África do Sul
Ангилал:ЗХУ-ын зохиолчид	Categoria:Escritores da União Soviética
Ангилал:Гүржийн зохиолчид	Categoria:Escritores da Geórgia
Ангилал:Персийн зохиолчид	Categoria:Escritores da Pérsia
Ангилал:Гайанагийн улс төрчид	Categoria:Políticos da Guiana
Ангилал:Никарагуагийн улс төрчид	Categoria:Políticos da Nicarágua
Ангилал:Либерийн улс төрчид	Categoria:Políticos da Libéria
Ангилал:Литвын улс төрчид	Categoria:Políticos da Lituânia
Ангилал:Вьетнамын улс төрчид	Categoria:Políticos do Vietname
Ангилал:Угандагийн улс төрчид	Categoria:Políticos de Uganda
Ангилал:Украйны улс төрчид	Categoria:Políticos da Ucrânia
Ангилал:Замбийн улс төрчид	Categoria:Políticos de Zâmbia
Ангилал:Колумбын улс төрчид	Categoria:Políticos da Colômbia
Ангилал:Ганын хөлбөмбөгчид	Categoria:Futebolistas do Gana
Ангилал:1933 онд өнгөрсөн	Categoria:Mortos em 1933
Ангилал:1961 онд нас барагсад	Categoria:Mortos em 1961
Ангилал:Вануату	Categoria:Vanuatu
Загвар:Country data Burkina Faso	Predefinição:Country data Burkina Faso
Ангилал:Азербайжаны спорт	Categoria:Desporto do Azerbaijão
Ангилал:Азербайжаны газар зүй	Categoria:Geografia do Azerbaijão
Ангилал:Иракийн газарзүй	Categoria:Geografia do Iraque
Загвар:Country data Central African Republic	Predefinição:Country data República Centro-Africana
Ангилал:Хөлбөмбөг Японд	Categoria:Futebol do Japão
Ангилал:Солонгосын газарзүй	Categoria:Geografia da Coreia
Ангилал:Люксембургийн хүн	Categoria:Luxemburgueses
Ангилал:Тажикийн хүн	Categoria:Tajiques
Ангилал:Ямайка	Categoria:Jamaica
Загвар:Lang-hy	Predefinição:Lang-hy
Ангилал:Хорватын цэргийн зүтгэлтнүүд	Categoria:Militares da Croácia
Ангилал:Бутаны хаад	Categoria:Reis do Butão
Ангилал:Норвегийн жүжгийн зохиолчид	Categoria:Dramaturgos da Noruega
Ангилал:Францын жүжгийн зохиолчид	Categoria:Dramaturgos da França
Ангилал:АНУ-ын волейболчид	Categoria:Voleibolistas dos Estados Unidos
Ангилал:Ганын хотууд	Categoria:Cidades do Gana
Ангилал:Английн математикчид	Categoria:Matemáticos do Reino Unido
Ангилал:Сэтгүүлчид	Categoria:Jornalistas
Ангилал:Чилийн дипломатч	Categoria:Diplomatas do Chile
Ангилал:Японы жүдочин	Categoria:Judocas do Japão
Ангилал:Австралийн хөнгөн атлетикчид	Categoria:Atletas da Austrália
Ангилал:Финландын авто уралдаанчид	Categoria:Pilotos de automóvel da Finlândia
Ангилал:Колумбын зохиолчид	Categoria:Escritores da Colômbia
Ангилал:Шинэ Зеландын улс төрчид	Categoria:Políticos da Nova Zelândia
Ангилал:Монгол Улсын улс төрчид	Categoria:Políticos da Mongólia
Ангилал:Бразилын улс төрчид	Categoria:Políticos do Brasil
Ангилал:Сент-Киттс ба Невисийн улс төрчид	Categoria:Políticos de São Cristóvão e Nevis
Ангилал:Шведийн улс төрчид	Categoria:Políticos da Suécia
Ангилал:Аргентины улс төрчид	Categoria:Políticos da Argentina
Ангилал:Эстоны улс төрчид	Categoria:Políticos da Estónia
Ангилал:Узбекийн улс төрч	Categoria:Políticos do Uzbequistão
Ангилал:Индонезийн улс төрчид	Categoria:Políticos da Indonésia
Ангилал:Чехийн улс төрчид	Categoria:Políticos da República Checa
Ангилал:Камбожийн улс төрч	Categoria:Políticos do Camboja
Загвар:Lang-ug	Predefinição:Lang-ug
Ангилал:Грекийн хөлбөмбөгчид	Categoria:Futebolistas da Grécia
Ангилал:Өмнөд Африкийн хөлбөмбөгчид	Categoria:Futebolistas da África do Sul
Ангилал:Литвын хөлбөмбөгчид	Categoria:Futebolistas da Lituânia
Ангилал:Македоны хөлбөмбөгчид	Categoria:Futebolistas da Macedônia
Ангилал:Сенегалын хөлбөмбөгчин	Categoria:Futebolistas do Senegal
Ангилал:ЗХУ-ын хөлбөмбөгчид	Categoria:Futebolistas da União Soviética
Ангилал:Исландын хөлбөмбөгчид	Categoria:Futebolistas da Islândia
Ангилал:Израилийн хөлбөмбөгчид	Categoria:Futebolistas de Israel
Ангилал:Камеруны хөлбөмбөгчид	Categoria:Futebolistas dos Camarões
Ангилал:Норвегийн цаначид	Categoria:Esquiadores cross-country da Noruega
Ангилал:Английн теннисчид	Categoria:Tenistas da Inglaterra
Ангилал:Их Британийн уран гулгагчид	Categoria:Patinadores artísticos do Reino Unido
Ангилал:МЭӨ 323 онд нас барагсад	Categoria:Mortos em 323 a.C.
Ангилал:МЭӨ 479 онд нас барагсад	Categoria:Mortos em 479 a.C.
Ангилал:МЭӨ 551 онд төрөгсөд	Categoria:Nascidos em 551 a.C.
Ангилал:Катар	Categoria:Qatar
Ангилал:Кыргызстан	Categoria:Quirguistão
Ангилал:Солонгос	Categoria:Coreia
Ангилал:Кувейт	Categoria:Kuwait
Ангилал:Лаос	Categoria:Laos
Ангилал:Ливан	Categoria:Líbano
Ангилал:Мьянмар	Categoria:Myanmar
Ангилал:Балба	Categoria:Nepal
Ангилал:Оман	Categoria:Omã
Ангилал:Онолын физикч	Categoria:Físicos teóricos
Ангилал:Ховордоогүй зүйлүүд	Categoria:Espécies pouco preocupantes
Ангилал:Тажикистан	Categoria:Tajiquistão
Ангилал:Мозамбикийн хүн	Categoria:Moçambicanos
Ангилал:Венесуэлийн хүн	Categoria:Venezuelanos
Ангилал:Зүүн Тимор	Categoria:Timor-Leste
Ангилал:Исландын хүн	Categoria:Islandeses
Ангилал:Уэльсчүүд	Categoria:Galeses
Ангилал:Хойд Солонгосчууд	Categoria:Norte-coreanos
Ангилал:Туркменистан	Categoria:Turquemenistão
Ангилал:Чиличүүд	Categoria:Chilenos
Ангилал:Узбек орон	Categoria:Uzbequistão
Ангилал:Эмч нар	Categoria:Médicos
Ангилал:Арабын Нэгдсэн Эмирт Улс	Categoria:Emirados Árabes Unidos
Ангилал:Шведийн эдийн засагчид	Categoria:Economistas da Suécia
Ангилал:Сербийн сагсан бөмбөгчид	Categoria:Basquetebolistas da Sérvia
Ангилал:Канадын сагсан бөмбөгчид	Categoria:Basquetebolistas do Canadá
Ангилал:Германы биатлончид	Categoria:Biatletas da Alemanha
Ангилал:Францын жүжигчид	Categoria:Atores da França
Ангилал:Финландын тамирчид	Categoria:Desportistas da Finlândia
Ангилал:Ливийн хотууд	Categoria:Cidades da Líbia
Ангилал:Угандын хөнгөн атлетикчид	Categoria:Atletas de Uganda
Ангилал:Беларусийн улс төрчид	Categoria:Políticos da Bielorrússia
Ангилал:Австрийн улс төрч	Categoria:Políticos da Áustria
Ангилал:Британийн сэлүүрт завьчид	Categoria:Remadores do Reino Unido
Ангилал:Мексикийн хөлбөмбөгчид	Categoria:Futebolistas do México
Ангилал:Эстоны хөлбөмбөгчид	Categoria:Futebolistas da Estônia
Ангилал:Испанийн хүн	Categoria:Espanhóis
Ангилал:Колумбын хүн	Categoria:Colombianos
Ангилал:Их Британийн эрдэмтэд	Categoria:Cientistas do Reino Unido
Ангилал:Норвегийн цанын хоёр төрөлтийн тамирчид	Categoria:Esquiadores de combinado nórdico da Noruega
Ангилал:Хятадын усанд үсрэгчид	Categoria:Saltadores da China
Ангилал:Их Монгол Улс	Categoria:Império Mongol
Ангилал:Зөвлөлт Холбоот Улс	Categoria:União Soviética
Ангилал:Эртний Ром	Categoria:Roma Antiga
Ангилал:1986 оны хөлбөмбөгийн ДАШТ-д оролцсон багуудын бүрэлдэхүүний загварууд	Categoria:!Predefinições das seleções da Copa do Mundo FIFA de 1986
Ангилал:Бразилын хөлбөмбөгийн үндэсний шигшээ багийн загварууд	Categoria:!Predefinições sobre Seleção Brasileira de Futebol
Ангилал:Гвиней-Биссаугийн хүн	Categoria:Guineenses (Guiné-Bissau)
Ангилал:Японы цэргийн зүтгэлтэн	Categoria:Militares do Japão
Ангилал:Геологийн загварууд	Categoria:!Predefinições sobre geologia
Ангилал:Японы уран гулгагч	Categoria:Patinadores artísticos do Japão
Ангилал:Францын уран гулгагчид	Categoria:Patinadores artísticos da França
Ангилал:Америкийн тэмцэгч	Categoria:Ativistas dos Estados Unidos
Ангилал:Олон хэлийг дэмжих загварууд	Categoria:!Predefinições de apoio multilingue
Ангилал:Зүүн Герман	Categoria:Alemanha Oriental
Ангилал:Сагсан бөмбөгийн загварууд	Categoria:!Predefinições sobre basquetebol
Ангилал:Загвар доторх загварууд	Categoria:!Predefinições para o domínio predefinição
Ангилал:2000 оны хөлбөмбөгийн Европын аварга шалгаруулах тэмцээн	Categoria:Campeonato Europeu de Futebol de 2000
Ангилал:Азийн ургамал амьтны аймаг	Categoria:Biota da Ásia
Ангилал:Ургамал амьтны аймгийг тивээр	Categoria:Biota por continente
Ангилал:Монголын амьтан ургамал	Categoria:Biota da Mongólia
Отто Портер	Otto Porter
Ангилал:Номын сан ба мэдээлэл зүй	Categoria:Biblioteconomia e ciência da informação
Ангилал:Агаар мандал	Categoria:Atmosfera
Ангилал:Хятадын компаниуд	Categoria:Empresas da China
Ангилал:Уэльс	Categoria:País de Gales
Ангилал:Америкийн компаниуд	Categoria:Empresas dos Estados Unidos
Ангилал:Өмнөд Солонгосын компаниуд	Categoria:Empresas da Coreia do Sul
Ангилал:Африкийн нуурууд	Categoria:Lagos da África
Ангилал:Кёнгийнхон	Categoria:Naturais de Gyeonggi
Загвар:PAGENAMEBASE	Predefinição:PAGENAMEBASE
Ангилал:Бага гаригууд	Categoria:Corpos menores do sistema solar
Ангилал:Чехословак	Categoria:Tchecoslováquia
Ангилал:Базель багийн тоглогчид	Categoria:Futebolistas do FC Basel
Ангилал:Реал Сосьедад багийн тоглогчид	Categoria:Futebolistas da Real Sociedad de Fútbol
Ангилал:Сампдориа багийн тоглогчид	Categoria:Futebolistas da U.C. Sampdoria
Ангилал:Сток Сити багийн тоглогчид	Categoria:Futebolistas do Stoke City FC
Ангилал:Штутгарт багийн тоглогчид	Categoria:Futebolistas do VfB Stuttgart
Загвар:Country data Wales	Predefinição:Country data País de Gales
Загвар:Country data Seychelles	Predefinição:Country data Seychelles
Ангилал:Хөлбөмбөгийн Европын аварга шалгаруулах тэмцээний тоглогчид	Categoria:Futebolistas por edição da Eurocopa
Ангилал:1988 оны хөлбөмбөгийн Европын аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Eurocopa de 1988
Ангилал:1996 оны хөлбөмбөгийн Европын аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Eurocopa de 1996
Ангилал:2000 оны хөлбөмбөгийн Европын аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Eurocopa de 2000
Ангилал:2004 оны хөлбөмбөгийн Европын аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Eurocopa de 2004
Ангилал:Хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores por Copa do Mundo FIFA
Ангилал:1986 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Copa do Mundo FIFA de 1986
Ангилал:1990 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Copa do Mundo FIFA de 1990
Ангилал:1994 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Copa do Mundo FIFA de 1994
Ангилал:1998 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Copa do Mundo FIFA de 1998
Ангилал:2002 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Copa do Mundo FIFA de 2002
Ангилал:2006 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Copa do Mundo FIFA de 2006
Ангилал:2010 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Copa do Mundo FIFA de 2010
Ангилал:Бразилын олимпийн хүрэл медальтнууд	Categoria:Medalhistas olímpicos de bronze do Brasil
Ангилал:Куинз Парк Рейнжерс багийн тоглогчид	Categoria:Futebolistas do Queens Park Rangers
Ангилал:Тив тивийн хүмүүс	Categoria:Pessoas por continente
Загвар:Country data Papua New Guinea	Predefinição:Country data Papua-Nova Guiné
Ангилал:Библи дэх түүхэн хүмүүс	Categoria:Personagens bíblicos
Ангилал:Оюун ухаан судлал	Categoria:Ciências cognitivas
Ангилал:Туркийн ерөнхийлөгчид	Categoria:Presidentes da Turquia
Ангилал:Кубын Ерөнхийлөгчид	Categoria:Presidentes de Cuba
Ангилал:Финландын ерөнхийлөгчид	Categoria:Presidentes da Finlândia
Ангилал:Францын Ерөнхийлөгчид	Categoria:Presidentes da França
Ангилал:АНУ-ын ерөнхийлөгчид	Categoria:Presidentes dos Estados Unidos
Ангилал:Европын түүх	Categoria:História da Europa
Ангилал:Азийн түүх	Categoria:História da Ásia
Ангилал:Нейрологи	Categoria:Neurologia
Ангилал:Кирибати	Categoria:Kiribati
Ангилал:Йордан	Categoria:Jordânia
Ангилал:Самоа	Categoria:Samoa
Ангилал:Коста-Рика	Categoria:Costa Rica
Ангилал:Тринидад ба Тобаго	Categoria:Trinidad e Tobago
Ангилал:Суринам	Categoria:Suriname
Ангилал:Никарагуа	Categoria:Nicarágua
Ангилал:Босни ба Херцеговина	Categoria:Bósnia e Herzegovina
Ангилал:Норвеги	Categoria:Noruega
Ангилал:Барбадос	Categoria:Barbados
Ангилал:Парагвай	Categoria:Paraguai
Ангилал:Баруун Сахар	Categoria:Saara Ocidental
Ангилал:Маршаллын арлууд	Categoria:Ilhas Marshall
Ангилал:Лихтенштейн	Categoria:Liechtenstein
Ангилал:Соломоны арлууд	Categoria:Ilhas Salomão
Ангилал:Гондурас	Categoria:Honduras
Ангилал:Уругвай	Categoria:Uruguai
Ангилал:Андорра	Categoria:Andorra
Ангилал:Серби	Categoria:Sérvia
Ангилал:Белиз	Categoria:Belize
Ангилал:Гайти	Categoria:Haiti
Ангилал:Эквадор	Categoria:Equador
Ангилал:Йемен	Categoria:Iémen
Ангилал:Перу	Categoria:Peru
Ангилал:Тажик улсын хот	Categoria:Cidades do Tajiquistão
Ангилал:Тив тивийн улс орон	Categoria:Países por continente
Ангилал:Боливи	Categoria:Bolívia
Ангилал:Албани	Categoria:Albânia
Ангилал:Карибын орнууд	Categoria:Países do Caribe
Ангилал:Далайн орнууд	Categoria:Países da Oceania
Ангилал:Монако	Categoria:Mónaco
Ангилал:Хойд Америкийн орнууд	Categoria:Países da América do Norte
Ангилал:Одон орны үзэгдлүүд	Categoria:Eventos astronómicos
Ангилал:Суонси Сити багийн тоглогчид	Categoria:Futebolistas do Swansea City
Ангилал:Гранада багийн тоглогчид	Categoria:Futebolistas do Granada CF
Ангилал:Мал	Categoria:Pecuária
Ангилал:Кристал Пэлас багийн тоглогчид	Categoria:Futebolistas do Crystal Palace
Ангилал:Ньюкасл Юнайтед багийн тоглогчид	Categoria:Futebolistas do Newcastle United
Ангилал:2008 оны хөлбөмбөгийн Европын аварга шалгаруулах тэмцээний тоглогчид	Categoria:Jogadores da Eurocopa de 2008
Ангилал:ХристИтгэлт Теологи	Categoria:Teologia cristã
Ангилал:Хүнсний ногоонууд	Categoria:Hortaliças
Ангилал:Цагаан идээ	Categoria:Laticínios
Ангилал:Жимснүүд	Categoria:Frutos
Ангилал:Хөлбөмбөгийн дасгалжуулагчид	Categoria:Treinadores de futebol
Ангилал:Эммигийн шагналтнууд	Categoria:Vencedores de Prémios Emmy
Ангилал:Спортын дасгалжуулагчид	Categoria:Treinadores
Ангилал:Атлетико Мадрид багийн тоглогчид	Categoria:Futebolistas do Atlético de Madrid
Ангилал:Селтик багийн тоглогчид	Categoria:Futebolistas do Celtic FC
Ангилал:Севилья багийн тоглогчид	Categoria:Futebolistas do Sevilla FC
Ангилал:Порту ХБ-т тоглож байсан	Categoria:Futebolistas do Futebol Clube do Porto
Ангилал:Америк хөлбөмбөгчид	Categoria:Jogadores de futebol americano
Ангилал:Нохойн үүлдрүүд	Categoria:Raças de cães
Ангилал:Азийн ургамлын аймаг	Categoria:Flora da Ásia
Ангилал:Намгархаг газар	Categoria:Pântanos, charcos e sapais
Ангилал:Цөмийн физик	Categoria:Física nuclear
Ангилал:Эгэл бөөмийн физик	Categoria:Física de partículas
Ангилал:Хөлбөмбөгийн холбоодын тэргүүн лигүүд	Categoria:Competições nacionais de futebol
Ангилал:2010 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Categoria:Copa do Mundo FIFA de 2010
Ангилал:Хөлбөмбөгийн үндэсний шигшээ багууд	Categoria:Seleções nacionais de futebol
Ангилал:Чүбү муж	Categoria:Região de Chubu
Ангилал:Канто муж	Categoria:Região de Kanto
Ангилал:2003 оны кинонууд	Categoria:Filmes de 2003
Ангилал:1991 оны кинонууд	Categoria:Filmes de 1991
Ангилал:1994 оны кинонууд	Categoria:Filmes de 1994
Ангилал:1997 оны кинонууд	Categoria:Filmes de 1997
Ангилал:2005 оны кинонууд	Categoria:Filmes de 2005
Ангилал:2007 оны кинонууд	Categoria:Filmes de 2007
Ангилал:2008 оны кинонууд	Categoria:Filmes de 2008
Ангилал:2010 оны кинонууд	Categoria:Filmes de 2010
Ангилал:2011 оны кинонууд	Categoria:Filmes de 2011
Ангилал:2009 оны кинонууд	Categoria:Filmes de 2009
Ангилал:Францын кинонууд	Categoria:Filmes da França
Ангилал:Хүн-аалз цуврал кино	Categoria:Filmes do Homem-Aranha
Ангилал:Нийтэд өмчлөгдсөн зургууд	Categoria:Imagens domínio público
Ангилал:Азийн бүсчлэл	Categoria:Regiões da Ásia
Ангилал:Улс төрийн газарзүй	Categoria:Geografia política
Ангилал:Тив, эх газрын газар зүй	Categoria:Geografia por continente
Ангилал:Уур амьсгал	Categoria:Clima
Ангилал:Пакистаны уул нурууд	Categoria:Montanhas do Paquistão
Ангилал:Оросын муж	Categoria:Oblasts da Rússia
Ангилал:Далайнууд	Categoria:Oceanos
Ангилал:Манга	Categoria:Mangá
Ангилал:Москва	Categoria:Moscou
Ангилал:Антропологи	Categoria:Antropologia
Ангилал:Хумхаа	Categoria:Malária
Ангилал:Адуу	Categoria:Cavalos
Ангилал:Философийн ойлголтууд	Categoria:Conceitos filosóficos
Ангилал:Цэргийн цолнууд	Categoria:Patentes militares
Ангилал:Гимнастик	Categoria:Ginástica
Ангилал:Тээврийн хэрэгслийн брэндүүд	Categoria:Veículos por marca
Ангилал:Тоёота тээврийн хэрэгслүүд	Categoria:Veículos da Toyota
Ангилал:Шотландын зохион бүтээгчид	Categoria:Inventores da Escócia
Ангилал:Үйлдлийн системүүд	Categoria:Sistemas operativos
