आफ्रिकाखण्डः	África
मेल्विन श्वार्ट्ज	Melvin Schwartz
निकोलास ब्लोम्बर्गन	Nicolaas Bloembergen
इस्कान् संस्था	Movimento Hare Krishna
हिब्रूभाषा-अकादमी	Academia da Língua Hebraica
आर्थर एल शालो	Arthur Schawlow
मेमेन्टो	Memento (filme)
जेम्स रेनवाटर	Leo James Rainwater
विलियम डी फिलिप्स	William Daniel Phillips
मार्टिन राइल	Martin Ryle
फिलिप दबल्यु एन्डरसन	Philip Warren Anderson
फ्रान्सिस् गाल्टन्	Francis Galton
लुक्रेजिया बोर्गिया	Lucrécia Bórgia
सीता	Sita
गोदावरीनदी	Rio Godavari
प्राकृतम्	Prácrito
श्री अरविन्दः	Sri Aurobindo
अनामिका	Anular
ऐजोल	Aizawl
छन्दः	Métrica (poesia)
लीयोन एम लीडरमन	Leon Max Lederman
चार्ल्स बार्क्ले	Charles Barkley
ए जे लेगेट	Anthony Leggett
काजीराङ्गाराष्ट्रियोद्यानम्	Parque Nacional de Kaziranga
जेम्स क्रोनिन	James Watson Cronin
कृष्णा	Rio Krishna
केनेथ् जी विल्सन्	Kenneth Wilson
हीनयानम्	Hinaiana
सत्याग्रहः	Satyagraha
मौलाना अबुल कलाम आजाद	Abul Kalam Azad
राजेन्द्र प्रसाद	Rajendra Prasad
देहरादून	Dehradun
गुवाहाटी	Guwahati
विश्वपरिसरदिनम्	Dia Mundial do Ambiente
बार्बर मेक्लिन्टाक्	Barbara McClintock
उपमालङ्कारः	Comparação
विशाखपट्टणमण्डलम्	Vishakhapatnam
विजयवाडा	Vijayawada
जोधपुरम्	Jodhpur
अजमेर	Ajmer
जोनास् एड्वर्ड् साक्	Jonas Salk
उज्जैन	Ujjain
लुधियाना	Ludhiana
मेरठ	Meerut
मथुरा	Matura
उदयपुरम्	Udaipur
औरङ्गाबाद् (महाराष्ट्रम्)	Aurangabad
बीकानेर	Bikaner
जबलपुरम्	Jabalpur
कास्सोवारिस्	Casuar
रिचार्ड इ टेलर	Richard Edward Taylor
विज्ञानेतिहासः	História da ciência
अलिगढ, उत्तरप्रदेशः	Aligarh
ग्यास्पर्डड-गुस्ताव डि कोरियोलिस	Gaspard-Gustave Coriolis
सामाजिकमाध्यमानि	Mídias sociais
ब्रह्मगुप्तः	Brahmagupta
प्लासीयुद्धम्	Batalha de Plassey
गुरुग्रन्थसाहिब	Guru Granth Sahib
पोर्ट्ब्लेरः	Port Blair
रिचर्ड क्रामवेल	Richard Cromwell
जेर्टि थेरेसा कोरि	Gerty Cori
सन्धिः	Sândi
गाझियाबाद्, उत्तरप्रदेशः	Ghaziabad (cidade)
उडुपचालनक्रीडा	Rafting
ठाणे	Thane
शिलाङ्ग	Shillong
ट्रिचिमलैदुर्गम्	Tiruchirappalli
इन्द्रियनिग्रहः	Castidade
इम्फाल	Imphal
मु अम्मर् गडाफ़ि	Saif al-Islam Muammar Al-Gaddafi
फेडेरिको माकेडा	Federico Macheda
भारतचीनयुद्धम्	Guerra sino-indiana
दूर्वा	Cynodon dactylon
जलियान्वालाबाग हत्याकाण्डः	Massacre de Jallianwala Bagh
सूत्रम्	Sutra
चन्दनम्	Sândalo
गङ्गानद्याः डोल्फिन	Golfinho-do-ganges
चेरापूञ्जी	Cherapunjee
मियाण्डर्	Rio Büyük Menderes
बरेली	Bareli
वारङ्गल् दुर्गम्	Warangal
तबला (वाद्यम्)	Tabla
भारतीयसर्वोच्चन्यायालयः	Supremo Tribunal da Índia
प्रकृतिचिकित्सा	Medicina natural
पणजी	Pangim
एड्डिङ्गटन् सर् अर्थर् स्ट्यान्ले	Arthur Stanley Eddington
नारिकेलतैलम्	Óleo de coco
कावेरीनदी	Rio Kaveri
नालन्दाविश्वविद्यालयः	Nalanda
चम्पा	Champa
चन्द्रभागा	Rio Chenab
रागः	Raga
मोरारजी देसाई	Morarji Desai
नारङ्गफलरसः	Suco de laranja
दलितजनः	Dalit
आर् लेनेक् मानारल्	René Laennec
नाविकनीलः	Azul ultramarino
डैरेन गिब्सन	Darron Gibson
ध्रुवीय उपग्रह प्रक्षेपण यानम्	Polar Satellite Launch Vehicle
कन्याकुमारी	Kanyakumari
जेम्स ३	Jaime III da Escócia
श्वेतपत्रम्	White paper
स्वामी दयानन्दसरस्वती	Swami Dayananda Saraswati
मेरी १	Maria I
एलिजाबेथ	Elizabeth
मधुरै	Madurai
कलियुगम्	Kali Yuga
भारतस्य राष्ट्रियपञ्चाङ्गम्	Calendário nacional indiano
भारतीय-अन्तरिक्ष-अनुसन्धान-सङ्घटनम् (ISRO)	Organização Indiana de Pesquisa Espacial
कस्तूरिमृगः	Moschidae
लोकसभा	Lok Sabha
अण्णा हजारे	Anna Hazare
पतञ्जलिः	Patandjáli
भीमराव रामजी अम्बेडकर	B.R. Ambedkar
बोअ क्वोन्	BoA
जम्बूफलम्	Jamelão
कोशातकी	Luffa
अटल बिहारी वाजपेयी	Atal Bihari Vajpayee
अक्षय कुमार	Akshay Kumar
पञ्चतन्त्रम्	Panchatantra
नर्मदानदी	Rio Narmada
मगधदेश:	Reino de Mágada
बिल्वः	Bael
शिग्रुः	Acácia-branca
श्रीविजयराजवंशः	Srivijaya
भारतीयसाम्यवादिपक्षः(मार्क्सवादी)	Partido Comunista da Índia (Marxista)
एलिजबेत् ब्ल्याक्वेल्	Elizabeth Blackwell
आल्लाह्	Alá
भक्तिवेदान्तस्वामी प्रभुपादः	Bhaktivedanta Swami Prabhupada
शुष्कफलानि	Fruta seca
जेम्स १ (स्काटलैंड)	Jaime I da Escócia
के आर् नारायणन्	K. R. Narayanan
रुत् प्रवर् जब्वाला	Ruth Prawer Jhabvala
केवलादेव्-राष्ट्रियोद्यानम्	Parque Nacional de Keoladeo
छत्रपतिशिवाजीटर्मिनस्	Estação Chhatrapati Shivaji
गोकुरासस्यम्	Tribulus terrestris
अथर्ववेदः	Atarvaveda
पाण्डवाः	Pandava
सामवेदः	Samaveda
कटिः	Cintura
सोलापुरम्	Sholapur
कल्पना चावला	Kalpana Chawla
दाण्डीयात्रा	Marcha do Sal
डेविड २	David II da Escócia
छत्रपति शिवाजी	Shivaji
ॐ मणि पद्मे हूँ	Om mani padme hum
मिन्दौगः	Mindaugas
जैसलमेर	Jaisalmer
भावनगरम्	Bhavnagar
लाल बहादूर शास्त्री	Lal Bahadur Shastri
राज्यसभा	Rajya Sabha
कृष्णनिम्बपत्रम्	Murraya koenigii
महर्षि महेश योगी	Maharishi Mahesh Yogi
ऐन्डर्स लिनडेगार्ड	Anders Lindegaard
भारतद्वारम्	Porta da Índia (Nova Deli)
विचिटा	Wichita
सरोजिनी नायुडु	Sarojini Naidu
गया	Gaya (Índia)
यष्टी	Regaliz
कस्तूरबा	Kasturba Gandhi
आरण्यकम्	Aranyaka
अस्थि	Osso
पीठम्	Plinto
जार्ज ५	Jorge V do Reino Unido
बेळगावी	Belgaum (divisão)
इन्दोनेशिया राष्ट्रपति सूची	Lista de presidentes da Indonésia
कवरत्ती	Kavaratti
विन्ध्यः	Montes Víndias
दिसपुर	Dispur
बाष्पस्थाली	Panela de pressão
जेम्स २ (स्काटलैंड)	Jaime II da Escócia
पी वी नरसिंह राव्	P. V. Narasimha Rao
ग्रन्थसम्पादनप्रविधिः	Crítica textual
सीताफलम्	Annona
आम्ब्रोस् पारे	Ambroise Paré
माहे	Mahé (Índia)
चरकः	Charaka
वन्दे मातरम्	Vande Mataram
श्वेताम्बरः सम्प्रदायः	Svetambara
जार्ज ६	Jorge VI do Reino Unido
रमणमहर्षिः	Ramana Maharshi
कोटो (वाद्यम्)	Koto
राबर्ट ३	Roberto III da Escócia
लियाण्डर् पेस्	Leander Paes
जार्ज् वाशिङ्ग्टन् कार्वर्	George Washington Carver
डयोस्कोरिडीस्	Dioscórides
मरीचिका (भौतविज्ञानम्)	Miragem
धात्री	Sarandi
जाह्न बालियोल	João da Escócia
आम्रातकम्	Spondias
बलासस्यम्	Sida (botânica)
बेन अमोस	Ben Amos
हीरोफिलस्	Herófilo
परमहंसयोगानन्‍दः	Paramahansa Yogananda
कबीरदासः	Kabir
अश्वघोषः	Aśvaghoṣa
महेशभूपतिः	Mahesh Bhupathi
बालगङगाधरतिलकः	Bal Gangadhar Tilak
वि वि गिरि	Varahagiri Venkata Giri
राबर्ट २	Roberto II da Escócia
गुरु गोविन्द सिंह	Guru Gobind Singh
तुलसीदासः	Tulsidas
भारतस्य राष्ट्रपतिः	Presidente da Índia
बिन्दुसारः	Bindusara
गुलजारीलाल नन्दा	Gulzarilal Nanda
फखरुद्दीन अली अहमद	Fakhruddin Ali Ahmed
इरावती	Rio Ravi
सिलवासा	Silvassa
जिरोलावो फ्राकास्टोरो	Girolamo Fracastoro
चौधरी चरणसिंह	Choudhary Charan Singh
जमशेदजी टाटा	Jamsetji Tata
देवानन्दः	Dev Anand
बीजपूरफलम्	Psidium
अभिमन्युः	Abhimanyu
अभिनवगुप्तः	Abhinava Gupta
अश्वत्थवृक्षः	Árvore de Bodhi
कोल्लम्	Coulão
मनुस्मृतिः	Código de Manu
भारतरत्नम्	Bharat Ratna
घृतम्	Ghee
भारतीयसंस्कृतिः	Cultura da Índia
सारनाथम्	Saranate
राकेश शर्मा	Rakesh Sharma
होमी जहाँगीर भाभा	Homi Jehangir Bhabha
मावेन् अन्तरिक्षयानम्	MAVEN
उत्पतनी	Cama elástica
मत्स्यावतारः	Matsya
वेदव्यासः	Vyasa
कोटा	Kota
मोरादाबाद्	Moradabad
भारतीयवायुसेना	Força Aérea da Índia
भीमबेट्का-शिलाश्रयाः	Abrigos na Rocha de Bhimbetka
लूथर् बर्ब्याङ्क्	Luther Burbank
भरतनाट्यम्	Bharatanatyam
मसानबु फ़ुकोका	Masanobu Fukuoka
जयदेव आचार्यः	Jayadeva Goswami
मध्वाचार्यः	Madhva
गीर अभयारण्यम्	Parque Nacional da Floresta de Gir
एरण्डतैलम्	Óleo de rícino
नोबल पुरस्कार-विजेतानां सूची	Laureados com o Nobel
पोप बेनेडिक्ट	Papa Bento
जेम्स १	Jacques I
भारतीयभूसेना	Exército da Índia
भारतीयनौसेना	Marinha da Índia
आदिवासिनः	Adivasi
माषः	Vigna mungo
अमरसिंहः	Amara Sinha
महम्मद हामिद आन्सारि	Mohammad Hamid Ansari
रायपुर	Raipur
धार्मिकपर्वाणि	Festividades religiosas
एरासिस्ट्राटस्	Erasístrato
राजेन्द्रकुमारः पचौरि	Rajendra Pachauri
एच्. डी. देवे गौडा	Deve Gowda
चक्रवर्ती राजगोपालाचारी	Chakravarthi Rajagopalachari
उशीरसस्यम्	Vetiver
अजीम प्रेमजी	Azim Premji
कार्तिकेयः	Kartiqueia
राजसर्षपः	Mostarda-preta
मङ्गल पाण्डेय	Mangal Pandey
दुर्गा	Durga
सुश्रुतः	Sushruta
महाभाष्यम्	Mahābhāṣya
गीतगोविन्दम्	Gita Govinda
अग्निः	Agni
भारतीय-प्रीमियर् लीग्	Indian Premier League
जाह्न	John
आगमः	Agama (desambiguação)
कारगिलयुद्धम्	Guerra de Kargil
पोप जान पाल	Papa João Paulo
यवाग्रजः	Ajowan
सुशील कोइराला	Sushil Koirala
खाद्यतैलम्	Óleo alimentar
पाटलः	Cor-de-rosa
अमर गोपाल बोस	Amar Bose
अम्बाला	Ambala
आमेर	Fortaleza Amber
एनी बेसन्ट्	Annie Wood Besant
आण्डाळ्	Andal
माता अमृतानन्‍दमयी	Mata Amritanandamayi
मीराबाई	Mirabai
आसनम्	Asana
साधुः तुकारामः	Tukaram
धीरूभाई अम्बाणी	Dhirubhai Ambani
सर् जेम्स् सिम्सन्	James Young Simpson
प्रथम कुमारगुप्तः	Cumaragupta I
विनायक दामोदर सावरकर	Vinayak Damodar Savarkar
एडवर्ड बालियोल	Eduardo Balliol
लवनीयम्	Annona reticulata
कूर्मावतारः	Kurma
चार्वाकदर्शनम्	Charvacas
कशेरुः	Coluna vertebral
लुईस नानी	Nani
मानवरहितविमानम्	Veículo aéreo não tripulado
मुहम्मद इकबाल	Muhammad Iqbal
मुद्गः	Vigna radiata
औरङ्गजेबः	Aurangzeb
नद्यावली विस्तारः च	Lista dos rios mais extensos do mundo
हुमायून्	Humaium
भारतस्य प्रधानमन्त्रिणः	Lista de primeiros-ministros da Índia
शक्तिदेवी	Devi
२०१४ एशिया क्रीडाः	Jogos Asiáticos de 2014
है हे नदी	Rio Hai
अ	Vogal central quase-aberta
सन्तूर् (वाद्यम्)	Santur
ज्	Fricativa alveolar sonora
मणिपुरीनृत्यम्	Manipuri
दादा साहेब फाळके	Dadasaheb Phalke
मडगांव	Margão
गदग	Gadag-Betigeri
सबाधधावनम्	Corrida com barreiras
दक्षिणभारतम्	Índia do Sul
नाट्यशास्त्रम् (ग्रन्थः)	Natya Shastra
प्राचीनगोवा	Goa Velha
बि.के.एस्. अय्यङ्गार्	B.K.S. Iyengar
उशनाः	Shukra
औराद	Aurad
अलीराजपुरम्	Alirajpur
औरैया	Auraiya
अक्बरपुरम्, रमाबायीनगरम्	Akbarpur (Kanpur Dehat)
अथणी (कर्णाटकम्)	Athni
बदरीनाथः	Badrinathpuri
अमरकण्टक	Amarkantak
अनूपपुरम्	Anuppur
अशोकनगरम्	Ashok Nagar
अमरेली	Amreli
एडवर्ड ८	Eduardo VIII do Reino Unido
अरोविले	Auroville
बुरहानपुरम्	Burhanpur
न्यायदर्शनम्	Nyaya
भारतीयमानकसमयः	Horário Padrão da Índia
मण्डला	Mandla
कुसुमकन्दरराष्ट्रियोद्यानम्	Parque Nacional do Vale das Flores
धार	Dhar
सेवफलरसः	Suco de maçã
अङ्गुली	Dedos da mão
होशङ्गाबाद	Hoshangabad
दधि	Coalhada
दीव	Diu
तुवरी	Guandu
नारिकेलजलम्	Água de coco
बैलहोङ्गल्	Bail Hongal
बालाघाट	Balaghat
एलिफेण्टागुहाः	Grutas de Elefanta
सर्वभारतीय-अण्णा द्राविड मुन्नेत्र कळगम् (ए आइ ए डि एम् के)	All India Anna Dravida Munnetra Kazhagam
वैशेषिकदर्शनम्	Vaisheshika
फीरोजपुर	Fiozpur
कूष्माण्डम्	Abóbora-d'água
रतलाम	Ratlam
श्रीरङ्गपट्टणम्	Shrirangapattana
स्थिरवलयलम्	Argolas
वेष्ट्-इण्डीस्	Caribe
मसूरी	Mussoori
श्रीकाकुलम्	Srikakulam
हेन्री ७	Henrique VII de Inglaterra
तेलङ्गाणाराज्यम्	Telangana
राष्ट्रपतिभवनम्	Rashtrapati Bhavan
सत्यमेव जयते	Satyameva Jayate
श्रीमद्भागवतपुराणम्	Bhagavata Purana
पिप्पली	Pimenta-longa
शौचम्	Limpeza
युग्मदण्डम्	Barras paralelas
मौण्ट् अबु	Monte Abu
महाचोळमन्दिराणि	Grandes Templos Vivos de Chola
संसद्‍ (भारतम्)	Parlamento da Índia
बसवनबागेवाडी	Basavana Bagevadi
बसवकल्याणम्	Basavakalyan
वाल्मीकिः	Valmiki
इक्षुरसः	Caldo de cana
शाल्मलिः	Bombax
अशोक सेन	Ashoke Sen
अष्टाङ्गयोगः	Ashtanga Vinyasa Yoga
ऋग्वेदः	Rigveda
केदैञै	Kėdainiai
प्राचीनज्योतिषम्	Jyotisha
जीन् फ्रान्स्व फर्नेल्	Jean Fernel
काव्यविमर्शः	Neocrítica
मृदङ्गः (वाद्यम्)	Mridangam
अश्वारोहक्रीडा	Buzkashi
कोणार्कमन्दिरम्	Templo do Sol em Konarak
बाङ्गलालिपिः	Alfabeto bengali
अशोकवृक्षः	Açoca
बेतिया	Bettiah
अनन्तपुरम् (आन्ध्रप्रदेशः)	Anantapur
भाल्की	Bhalki
उत्तरपश्चिमदेहलीमण्डलम्	Deli Noroeste
तळाजा	Talaja
स्केटिङ्ग्	Patinagem no gelo
अशोकचक्रम्	Ashoka Chakra
कूर्मासनम्	Kurmasana
भिण्ड	Bhind
बि एम् डब्ल्यू (i8)	BMW i8
उष्ट्रासनम्	Ushtrasana
नारदपुराणम्	Naradeya Purana
बाबरः	Babur
बडवानी-नगरम्	Barwani
अतिथिसत्कारः	Hospitalidade
विकिरणीयप्रदूषणम्	Contaminação radioactiva
ब्राह्मणम्	Brâmana
परशुरामः	Parashurama
संस्कृतसाहित्यशास्त्रम्	Poética
तिरुपुर	Tiruppur
भारतीय भूगोलः	Geografia da Índia
प्राणायामः	Pranayama
कथाकेळिः	Kathakali
मन्दारः	Casco-de-vaca-lilás
स्मृतयः	Smriti
नारदः	Narada
माध्यमिकाः	Madhyamaka
कुन्ती	Kunti
चम्पानेर्-पावागढ़-पुरातत्त्वोद्यानम्	Parque Arqueológico de Champaner-Pavagadh
तमिल-विकिपीडिया	Wikipédia em tâmil
द्वितीयः चन्द्रगुप्तः	Chandragupta II
महाजनपदाः	Mahajanapadas
मीमांसा	Mimāṃsā
महाशिवरात्रिः	Maha Shivaratri
चन्द्रगुप्तः	Chandragupta I
वियुग्मदण्डम्	Paralelas assimétricas
यथार्थरूपा भगवद्गीता	Bhagavad-Gita: Como Ele É
बोम्मनहळ्ळीविधानसभाक्षेत्रम्	Bommanahalli
चन्देरी	Chanderi
चमोली गोपेश्वरम्	Chamoli Gopeshwar
हलासनम्	Halasana
धनुरासनम्	Chakrasana
भुजङ्गासनम्	Bhujangasana
पश्चिमोत्तानासनम्	Paschimottanasana
राजगिर	Rajgir
चैतन्‍य महाप्रभु	Chaitanya Mahaprabhu
पदतलम्	Planta do pé
शिल्पकला	Artesanato
भारतस्य राष्ट्रपतयः	Lista de presidentes da Índia
ब्रह्मचर्यम्	Brahmacharya
श्रीराम शंकर अभ्‍यंकर	Shreeram Abhyankar
जनतादलम्(संयुक्तम्)	Janata Dal (United)
शूद्रः	Shudra
सर्षपतैलम्	Óleo de mostarda
विकिपीडिया:साहाय्यम्	Ajuda:Página principal
वेदाङ्गम्	Vedanga
लक्ष्मणः	Lakshmana
केतुः	Ketu
द हिन्दू	The Hindu
गणेशचतुर्थी	Ganesha Shaturthi
मोहिनीयाट्टम्	Mohiniyattam
नीमच	Neemuch
पर्यावरणशिक्षा	Educação ambiental
पद्मश्री-पुरस्कारः	Padma Shri
राहुः	Rahu
वेणुः (वाद्यम्)	Bansuri
वातामक्षीरम्	Leite-de-amêndoa
छिन्दवाडा	Chhindwara
रीवा	Rewa (Índia)
नवद्वीप	Nabadwip
झुञ्झुनु	Jhunjhunun
सागर	Sagar
देवरिया, उत्तरप्रदेशः	Deoria
जालौर	Jalore
प्रतापगढ, उत्तरप्रदेशः	Pratapgarh City
उदरम्	Estômago
द्रौपदी	Draupadi
समुद्रीय-प्रदूषणम्	Poluição marinha
समाधिपादः	Ioga Sutras
सौराष्ट्रम्	Saurashtra
छतरपुरम्	Chhatarpur
ओङ्कारेश्वरः	Omkareshwar
चिक्कोडी	Chikodi
माण्डूक्योपनिषत्	Mandukya Upanishad
भारतस्य शासनप्रणालिः	Política da Índia
अयस्कान्तचिकित्सा	Magnetoterapia
पोतकी	Basella alba
कामः	Kama (hinduísmo)
समुद्रगुप्तः	Samudragupta
दार्जिलिङ्गमण्डलम्	Darjeeling (distrito)
जयपुरमण्डलम्	Jaipur (distrito)
कामेट् (शिखरम्)	Kamet
कूचिपुडी	Kuchipudi
दुर्गापूजा	Durga Puja
रायल् चालेञ्जर्स् बेङ्गळूरु	Royal Challengers Bangalore
दमोह	Damoh
दतिया	Datia
मुम्बै इण्डियन्स्	Mumbai Indians
द्राक्षाफलरसः	Suco de uva
माण्डिनो डि लूज्जि	Mondino de Liuzzi
सि एन् आर् राव	Chintamani Rao
मीनराशिः	Peixes (astrologia)
देवास	Dewas
स्कन्दगुप्तः	Scandagupta
अलाबु	Cabaça
त्रिपिटकम् (बौद्धदर्शनम्)	Tipitaka
राजमाषशाकम्	Feijão-chicote
जटायुः	Jatayu
विष्णुपुराणम्	Vishnu Purana
विकिपीडिया:वैज्ञानिक-शब्दावलिः/A	Pandit
सीमानियन्त्रणरेखा	Linha de Controle
भारतस्य राजनैतिकपक्षाः	Lista de partidos políticos na Índia
निम्बूकरसः	Sumo de limão
मल्लस्तम्भक्रीडा	Mallakhamb
पिङ्गलि वेङ्कय्य	Pingali Venkayya
चालुक्यवंशः	Chalukya
मञ्जुल भार्गव	Manjul Bhargava
साबरमती आश्रमः	Sabarmati Ashram
वर्गः:जर्मनीदेशः	Categoria:Alemanha
वर्गः:रशियादेशः	Categoria:Rússia
वर्गः:चीनादेशः	Categoria:China
मदर इण्डिया	Mother India
वर्गः:भारतम्	Categoria:Índia
क्षत्रियः	Xátria
वर्गः:इण्डोनेशियादेशः	Categoria:Indonésia
वर्गः:पाकिस्तानम्	Categoria:Paquistão
वर्गः:विश्वपरम्परास्थानानि	Categoria:Patrimônio Mundial da UNESCO
जीवन्तीवृक्षः	Terminalia (planta)
लोटनम्	Tumbling
जनकः	Janaka
गजेन्द्रगड	Gajendragarh
महामरीचिका	Pimentão
अम्बरमल्लिका	Millingtonia
कालमेघः	Andrographis
सत्ययुगम्/कृतयुगम्	Satya Yuga
विदिशा	Vidisha
भारतस्य उपराष्ट्रपतिः	Vice-presidente da Índia
युगम्	Yuga
खण्डवा-नगरम्	Khandwa
सबीर भाटिया	Sabeer Bhatia
मुख्यमन्त्री	Ministro-chefe
हरदा	Harda
हुम्नाबाद्	Homnabad
श्यामजी कृष्ण वर्मा	Shyamji Krishna Varma
रामानुजाचार्यः	Ramanuja
हुक्केरी	Hukeri
चारमीनार्	Charminar
मुरैना	Morena (Madhya Pradesh)
हर्षचरितम्	Harshacharita
झाबुआ	Jhabua
मन्दसौर	Mandsaur
नवादा	Nawada
पचमढी	Pachmarhi Cantt
मूडबिद्रि	Mudbidri
खरगौन	Khargone
२०१३	Mortes em 2013
व्यारा	Vyara
शन्तनुः	Santanu
भरतः(रामायणम्)	Bharata (Ramáiana)
वर्गः:हिन्दुधर्मः	Categoria:Hinduísmo
गुप्तलिपिः	Escrita gupta
दशरथः	Dasharatha
ओडिशी	Odissi
कासगञ्ज	Kasganj
शिवपुरी	Shivpuri
रघुवंशम्	Raguvamsa
कौसल्या	Kausalya
कैकेयी	Kaikeyi
शारदालिपिः	Sharada
निरुक्तम्	Nirukta
दक्षिणदेहलीमण्डलम्	Distrito Sul de Deli
जोवाइ	Jawai
सीहोर	Sehore
रुद्रप्रयागः	Rudra Prayag
बैतूल-नगरम्	Betul
अमरावती (आन्ध्रप्रदेशः)	Amaravati (Andra Pradexe)
खानापुरम्	Khanapur
बान्दामण्डलम्	Bānda
मङ्गलयानम्	Mars Orbiter Mission
मत्स्यासनम्	Matsyasana
धनूराशिः	Sagitário
लक्ष्मेश्वरम्	Lakshmeshwar
मधुगिरिः	Madhugiri
संस्कृतस्य प्रयोजनम्	Imp
तेलुगुदेशम्-पक्षः	Telugu Desam
बुद्धचरितम्	Buddhacarita
सवदत्ती	Saundatti-Yellamma
सिवनी	Seoni (Madhya Pradesh)
टीकमगढ	Tikamgarh
श्योपुरम्	Sheopur
मञ्झानपुरम्	Manjhanpur
पडरौना	Padrauna
चित्रकूटधाम (कार्वी)	Chitrakoot Dham (Karwi)
अद्वैतवेदान्तः	Advaita Vedânta
शाजापुरम्	Shajapur
रायसेन	Raisen
तीर्थहळ्ळी	Tirthahalli
अदलाज् सोपानकूपाः	Adalaj
मन्वन्तरम्	Manvantara
पुरुषार्थः	Tri-varga
अर्थः	Artha
भगिनी निवेदिता	Irmã Nivedita
कल्पः	Kalpa (Vedanga)
आश्रमव्यवस्था	Ashramas
नेपाल: भूगोल	Geografia do Nepal
संस्कृतम्- भारतस्य सांस्कृतिकभाषा	Lista de títulos e nomes de Krishna
शामली	Shamli
राजगढ	Rajgarh (Madhya Pradesh)
ब्रह्मपुराणम्	Brahma Purana
सीधी	Sidhi
भीमुनिपट्टणम्	Bheemunipatnam
उमरिया	Umaria
डिण्डोरी-नगरम्	Dindori
शहडोल	Shahdol
स्कन्दपुराणम्	Skanda Purana
वेदान्तः	Vedanta
वडनगरम्	Vadnagar
ब्रह्मरन्ध्रम्	Sahasrara
साइहा	Saiha
संस्कृतविकिपीडिया	Wikipédia em sânscrito
शिक्षा	Shiksha
मालविकाग्निमित्रम्	Mālavikāgnimitram
अमरकोशः	Amarakosha
पद्मपुराणम्	Padma Purana
गुरु रामानन्द	Ramananda
पञ्चाङ्गम्	Panchangam
कुङ्कुमम्	Açafrão (cor)
‌सेरसिप	Serchhip
कारवारम्	Karwar
तिलः	Gergelim
भीखाइजी कामा	Bhikaiji Cama
विश्वामित्रः	Vishvamitra
जम्मू	Jammu
अष्टाध्यायी	Ashtadhyāyi
औष्ण्यमालिन्यम्	Poluição térmica
वर्गः:महाद्वीपः	Categoria:Continentes
निष्पावप्रभेदः	Vagem
द्वैतदर्शनम्	Dvaita
भारतपाकिस्थानयुद्धम्	Guerras indo-paquistanesas
गुण्टूरुमण्डलम्	Guntur
फलकम्:Solar System	Predefinição:Sistema Solar
विकिपीडिया:लेखशीर्षकः	Wikipédia:Convenção de nomenclatura
विकिसम्मेलनम् भारतम्	Wiki Conference India
स्वामी ब्रह्मानन्दः	Swami Brahmananda
प्यालेस् आन् व्हील्स्	Palace on Wheels
आन्ध्रप्रदेशस्य मण्डलानाम् आवलिः	Lista de distritos de Andra Pradexe
विक्रमादित्यः (नौयानम्)	INS Vikramaditya
पी टी उषा	P. T. Usha
अपामार्गसस्यम्	Achyranthes aspera
अश्विनी	Aswini
मैक्रोनीशिया	Micronésia
कैलाश सत्यार्थी	Kailash Satyarthi
सिक्खविरोधिहिंसा	Massacre dos sikhs em 1984
अक्कमहादेवी	Akka Mahadevi
अशोकस्य चतुर्मुखसिंहस्तम्भः	Capitel do Leão de Asoca
षष्ठी	Shashti
Chanakya	Desastre
वर्गः:देश	Categoria:Países
विकिपीडिया:प्रबंधक	Wikipédia:Administradores
विकिपीडियासम्भाषणम्:प्रबन्धकः	Wikipédia:Pedidos de administração
वर्गः:AutoWikiBrowser	Wikipédia:AutoWikiBrowser
ईजिप्तदेशः	Egito
रवीन्द्रप्रभात:	Ravindra Prabhat
फलकम्:Bot	Predefinição:Robô
केनडा	Canadá
वर्गः:निर्वाचित लेख	Categoria:!Artigos destacados
दाक्षक	Lista de ginastas
वर्गः:युरोपखण्डः	Categoria:Europa
फलकम्:Documentation	Predefinição:Documentação
विकिपीडिया:स्तम्भपञ्चकम्	Wikipédia:Cinco pilares
विकिपीडिया:उल्लेख्यता	Wikipédia:Critérios de notoriedade
विकिपीडिया:प्रयोक्तृ-पेटिकाः	Wikipédia:Userbox
सङ जेगी	Sung Jae-ki
बुधगुप्तः	Budagupta
फलकम्:Softredirect	Predefinição:Pseudorredirecionamento
फलकम्:अपाक्रियताम्	Predefinição:ER
वर्गः:विकिपीडिया	Categoria:Wikipédia
विकिपीडिया:General disclaimer	Wikipédia:Aviso geral
विकिपीडिया:शैलीपुस्तकम्	Wikipédia:Livro de estilo
फलकम्:Navbox	Predefinição:Navbox
कङ्गारू	Canguru
गहनचिकित्साविभागः	Unidade de terapia intensiva
नरसिंहगुप्तः बालादित्यः	Narasimagupta
फलकम्:Citation needed	Predefinição:Carece de fontes
फलकम्:Error	Predefinição:Erro
फलकम्:Tnavbar	Predefinição:Tnavbar
फलकम्:Code	Predefinição:Código
फलकम्:Sc	Predefinição:Smallcaps
फलकम्:Clear	Predefinição:Limpar
फलकम्:Col-break	Predefinição:Col-break
फलकम्:Col-begin	Predefinição:Col-begin
फलकम्:Nowrap	Predefinição:Nowrap
विकिपीडिया:प्रारम्भिक-विषयाः	Wikipédia:Artigos essenciais
फलकम्:Wikisource	Predefinição:Wikisource
फलकम्:Babel	Predefinição:Babel
फलकम्:Commons	Predefinição:Commons
फलकम्:Link GA	Predefinição:Bom interwiki
फलकम्:Reflist	Predefinição:Referências
